POSTE;DATE;RR;FFM
98803001;20161001;0,0;
98803001;20161002;0,0;
98803001;20161003;0,2;
98803001;20161004;0,0;
98803001;20161005;0,6;
98803001;20161006;0,0;
98803001;20161007;0,0;
98803001;20161008;0,2;
98803001;20161009;0,0;
98803001;20161010;10,1;
98803001;20161011;0,0;
98803001;20161012;0,6;
98803001;20161013;0,0;
98803001;20161014;0,4;
98803001;20161015;4,8;
98803001;20161016;0,2;
98803001;20161017;0,0;
98803001;20161018;0,2;
98803001;20161019;0,2;
98803001;20161020;0,0;
98803001;20161021;0,0;
98803001;20161022;0,2;
98803001;20161023;0,0;
98803001;20161024;1,0;
98803001;20161025;0,0;
98803001;20161026;0,0;
98803001;20161027;0,0;
98803001;20161028;0,0;
98803001;20161029;0,0;
98803001;20161030;0,0;
98803001;20161031;0,2;
98803001;20161101;0,0;
98803001;20161102;0,0;
98803001;20161103;0,0;
98803001;20161104;2,0;
98803001;20161105;4,0;
98803001;20161106;6,9;
98803001;20161107;0,0;
98803001;20161108;0,0;
98803001;20161109;0,2;
98803001;20161110;1,8;
98803001;20161111;0,4;
98803001;20161112;6,7;
98803001;20161113;0,2;
98803001;20161114;1,0;
98803001;20161115;7,1;
98803001;20161116;10,9;
98803001;20161117;0,2;
98803001;20161118;0,0;
98803001;20161119;0,0;
98803001;20161120;54,1;
98803001;20161121;78,8;
98803001;20161122;23,3;
98803001;20161123;0,0;
98803001;20161124;0,0;
98803001;20161125;0,0;
98803001;20161126;0,0;
98803001;20161127;7,3;
98803001;20161128;21,6;
98803001;20161129;41,4;
98803001;20161130;0,2;
98803001;20161201;1,4;
98803001;20161202;7,3;
98803001;20161203;0,0;
98803001;20161204;0,0;
98803001;20161205;0,2;
98803001;20161206;0,2;
98803001;20161207;0,2;
98803001;20161208;0,0;
98803001;20161209;0,0;
98803001;20161210;0,0;
98803001;20161211;0,2;
98803001;20161212;0,0;
98803001;20161213;;
98803001;20161214;;
98803001;20161215;;
98803001;20161216;;
98803001;20161217;;
98803001;20161218;;
98803001;20161219;;
98803001;20161220;;
98803001;20161221;;
98803001;20161222;;
98803001;20161223;;
98803001;20161224;;
98803001;20161225;;
98803001;20161226;;
98803001;20161227;8,1;
98803001;20161228;0,0;
98803001;20161229;0,0;
98803001;20161230;0,4;
98803001;20161231;0,0;
98803001;20170101;0,0;
98803001;20170102;7,5;
98803001;20170103;0,2;
98803001;20170104;0,0;
98803001;20170105;2,0;
98803001;20170106;14,3;
98803001;20170107;80,6;
98803001;20170108;18,5;
98803001;20170109;7,5;
98803001;20170110;30,5;
98803001;20170111;1,6;
98803001;20170112;2,0;
98803001;20170113;0,0;
98803001;20170114;0,0;
98803001;20170115;29,0;
98803001;20170116;0,0;
98803001;20170117;0,0;
98803001;20170118;0,0;
98803001;20170119;0,0;
98803001;20170120;0,0;
98803001;20170121;0,0;
98803001;20170122;0,0;
98803001;20170123;4,4;
98803001;20170124;0,0;
98803001;20170125;0,0;
98803001;20170126;0,0;
98803001;20170127;0,0;
98803001;20170128;5,0;
98803001;20170129;22,7;
98803001;20170130;0,0;
98803001;20170131;0,0;
98803001;20170201;0,0;
