Time, Lon, Lat, Depth
02:26:36.00,165.36729336383334,-21.60379491816667,1.14
02:26:37.00,165.36729428666666,-21.60379502133333,1.15
02:26:38.00,165.36729521266668,-21.60379484516667,1.07
02:26:39.00,165.36729621233334,-21.60379456800000,1.12
02:26:40.00,165.36729732300000,-21.60379407283333,1.08
02:26:41.00,165.36729839866666,-21.60379357733333,1.08
02:26:42.00,165.36729969133333,-21.60379275716667,1.09
02:26:43.00,165.36730051616667,-21.60379229550000,1.07
02:26:44.00,165.36730235600001,-21.60379158933333,1.07
02:26:45.00,165.36730492483332,-21.60379205516667,0.98
02:26:46.00,165.36730823233333,-21.60379356783333,0.92
02:26:47.00,165.36731212949999,-21.60379563233333,0.97
02:26:48.00,165.36731556999999,-21.60379869650000,0.88
02:26:49.00,165.36731890499999,-21.60380259966667,0.81
02:26:50.00,165.36732171700001,-21.60380702016667,0.86
02:26:51.00,165.36732554599999,-21.60381122800000,0.83
02:26:52.00,165.36732906833333,-21.60381603516667,1.28
02:26:53.00,165.36733306350001,-21.60382111100000,0.90
02:26:54.00,165.36733768066668,-21.60382686516667,0.84
02:26:55.00,165.36734258233332,-21.60383309466667,0.81
02:26:56.00,165.36734688900000,-21.60383989583333,0.88
02:26:57.00,165.36735060699999,-21.60384715566667,0.90
02:26:58.00,165.36735282816667,-21.60385451733333,0.95
02:26:59.00,165.36735409799999,-21.60386170783333,1.47
02:27:0.00,165.36735457050000,-21.60386859133333,1.53
02:27:1.00,165.36735410500000,-21.60387516633334,1.17
02:27:2.00,165.36735297249999,-21.60388145116667,1.67
02:27:3.00,165.36735111483333,-21.60388751733333,1.27
02:27:4.00,165.36734881433333,-21.60389351566667,0.91
02:27:5.00,165.36734647883333,-21.60389946416667,0.93
02:27:6.00,165.36734428633332,-21.60390573716667,0.84
02:27:7.00,165.36734225900000,-21.60391260266667,0.85
02:27:8.00,165.36734021166666,-21.60391980950000,0.88
02:27:9.00,165.36733785000001,-21.60392736900000,0.89
02:27:10.00,165.36733539033332,-21.60393507650000,0.86
02:27:11.00,165.36733216950000,-21.60394283216667,1.09
02:27:12.00,165.36732789916667,-21.60395040583333,1.14
02:27:13.00,165.36732283350000,-21.60395739050000,0.84
02:27:14.00,165.36731699116666,-21.60396371850000,1.34
02:27:15.00,165.36731056549999,-21.60396911833333,0.85
02:27:16.00,165.36730348600000,-21.60397398533333,0.86
02:27:17.00,165.36729598549999,-21.60397872333333,0.92
02:27:18.00,165.36728797449999,-21.60398317733333,0.92
02:27:19.00,165.36727986516667,-21.60398735350000,0.94
02:27:20.00,165.36727125883334,-21.60399012833333,1.00
02:27:21.00,165.36726307916666,-21.60399338050000,1.04
02:27:22.00,165.36725492366668,-21.60399625733333,0.94
02:27:23.00,165.36724679800000,-21.60399990333333,0.93
02:27:24.00,165.36723822283332,-21.60400385683333,0.85
02:27:25.00,165.36722975916666,-21.60400848566667,0.83
02:27:26.00,165.36722069250001,-21.60401310166667,0.94
02:27:27.00,165.36721105800001,-21.60401727650000,1.39
02:27:28.00,165.36720127316667,-21.60402158900000,1.42
02:27:29.00,165.36719132816665,-21.60402576250000,1.14
02:27:30.00,165.36718118416667,-21.60402979050000,0.97
02:27:31.00,165.36717107250001,-21.60403382750000,1.51
02:27:32.00,165.36716091033333,-21.60403787400000,0.96
02:27:33.00,165.36715071233334,-21.60404190700000,0.83
02:27:34.00,165.36714042649999,-21.60404614950000,1.27
02:27:35.00,165.36713000766667,-21.60405039216667,1.69
02:27:36.00,165.36711968133332,-21.60405497550000,0.86
